sepal length,sepal width,class
4.9,3.0,Iris-setosa
4.7,3.2,Iris-setosa
4.6,3.1,Iris-setosa
4.6,3.4,Iris-setosa
4.4,2.9,Iris-setosa
4.9,3.1,Iris-setosa
4.8,3.4,Iris-setosa
4.8,3.0,Iris-setosa
4.3,3.0,Iris-setosa
4.6,3.6,Iris-setosa
4.8,3.4,Iris-setosa
4.7,3.2,Iris-setosa
4.8,3.1,Iris-setosa
4.9,3.1,Iris-setosa
4.9,3.1,Iris-setosa
4.4,3.0,Iris-setosa
4.5,2.3,Iris-setosa
4.4,3.2,Iris-setosa
4.8,3.0,Iris-setosa
4.6,3.2,Iris-setosa
4.9,2.4,Iris-versicolor
4.9,2.5,Iris-virginica
